2500000,Y,USB,WWV,,,2200,,
3330000,Y,USB,CHU,CHU,,2200,,
4995000,Y,USB,RWM,,,2200,,
5000000,Y,USB,WWV / BPM,,,2200,,
5505000,Y,USB,Volmet,,,2200,,
7850000,Y,USB,CHU,,,2200,,
9995000,Y,USB,RWM,,,2200,,
10000000,Y,USB,WWV / BPM,,,2200,,
10051000,Y,USB,Volmet,,,2200,,
14670000,Y,USB,CHU,,,2200,,
14995000,Y,USB,RWM,,,2200,,
15000000,Y,USB,WWV / BPM,,,2200,,
28230000,Y,CW,,OH5TEN,,250,,
28259800,Y,CW,IQ8BB/B,IQ8BB/B,,250,,
28267300,Y,CW,OH9TEN,,,250,,
28230000,Y,CW,,OH5TEN,,250,,
28265410,Y,CW,SV3RSI,,,250,,
