60000,Y,CW,MSF (NPL Cumbria),,,150,,
77500,Y,CW,SD freq,,,750,,
128800,Y,USB,EFR Teleswitch,,,3000,,
135300,Y,USB,EFR Teleswitch,EFR Teleswitch,,3000,,
138700,Y,USB,EFR Teleswitch,,,3000,,
147000,Y,USB,RTTYU TBD,,,3000,,
198000,Y,AM,BBC R4,,,6000,,
332000,Y,AM,NDB SHM (Shoreham),,,6000,,
339000,Y,AM,NDB BIA (Bournemouth),,,6000,,
352000,Y,AM,NDB WOD (Woodley),,,6000,,
391500,Y,AM,NDB EAS (Southampton),,,6000,,
414000,Y,AM,NDB BRI (Bristol),,,6000,,
